,interaction,type,Model,Target,Accuracy,1.0_Precision,1.0_Recall,1.0_F1-Score,2.0_Precision,2.0_Recall,2.0_F1-Score,3.0_Precision,3.0_Recall,3.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
59,DelinquentPeer_x_Race_3.0,test_metrics,logistic_regression,AST,0.5385926467007548,0.08637236084452975,0.5921052631578947,0.15075376884422112,0.1659919028340081,0.3241106719367589,0.21954484605087016,0.1434878587196468,0.22727272727272727,0.1759133964817321,0.9034965034965035,0.5983328187712257,0.7199108469539375,0.32483715647367206,0.43545537028465164,0.3165307145826902,0.744587023296125,0.5385926467007548,0.6098489026568006
60,DelinquentPeer_x_Race_4.0,train_metrics,logistic_regression,AST,0.45476999073788205,0.48234941564279293,0.6211793763507255,0.5430316116190412,0.35655830017268564,0.366548317381908,0.3614843006660324,0.3873024306016735,0.22506946588453225,0.284696119111545,0.5496466307466238,0.6062828033343625,0.576577237861049,0.4439641942909439,0.45476999073788205,0.4414473173144169,0.443964194290944,0.45476999073788205,0.4414473173144169
61,DelinquentPeer_x_Race_4.0,test_metrics,logistic_regression,AST,0.5378621865108352,0.08285163776493257,0.5657894736842105,0.14453781512605043,0.16565656565656567,0.3241106719367589,0.21925133689839574,0.15098468271334792,0.24125874125874125,0.18573351278600267,0.9028491359177955,0.5967891324482865,0.7185873605947956,0.3255855055131604,0.43198700483199926,0.3170275063513111,0.7444920665171937,0.5378621865108352,0.6093377881771385
62,DelinquentPeer_x_Race_5.0,train_metrics,logistic_regression,AST,0.45438406915714724,0.48237054774019755,0.6219512195121951,0.5433397390512795,0.35624292719728406,0.3644643408459401,0.36030674144443176,0.38286920944965025,0.2239117011423279,0.28256952223250376,0.5506404423601876,0.607209015128126,0.5775428550453328,0.44303078168682986,0.4543840691571473,0.4409397144433869,0.44303078168682986,0.45438406915714724,0.4409397144433869
63,DelinquentPeer_x_Race_5.0,test_metrics,logistic_regression,AST,0.538836133430728,0.08221797323135756,0.5657894736842105,0.14357262103505844,0.1663265306122449,0.3221343873517787,0.2193808882907133,0.14285714285714285,0.22727272727272727,0.17543859649122806,0.9036761284318288,0.599567767829577,0.7208611729769858,0.32376944378314354,0.42869108903457337,0.3148133196984964,0.744649114512592,0.538836133430728,0.6104122294966432
64,DelinquentPeer_x_Race_nan,train_metrics,logistic_regression,AST,0.4550401358443964,0.4829613630909527,0.6213337449830194,0.5434782608695653,0.35634076957628386,0.3673973448595245,0.361784601352892,0.38658358743205623,0.22506946588453225,0.28450168300892725,0.5511048754822869,0.6063599876505095,0.5774135459924296,0.4442476488953949,0.4550401358443964,0.44179452280595355,0.4442476488953949,0.4550401358443964,0.4417945228059535
65,DelinquentPeer_x_Race_nan,test_metrics,logistic_regression,AST,0.5383491599707816,0.0854368932038835,0.5789473684210527,0.14890016920473773,0.1661600810536981,0.3241106719367589,0.21969189551239118,0.14502164502164502,0.23426573426573427,0.17914438502673796,0.9034064395706953,0.59771534424205,0.7194351542177629,0.3250062647124805,0.43375977971639895,0.31679290099040747,0.7446262121115994,0.5383491599707816,0.6096825591959608
66,SchoolConnect_x_NeighborConnect,train_metrics,logistic_regression,AST,0.4546735103426984,0.48131736526946106,0.6204075331892559,0.5420825465335851,0.35573932175100526,0.36191725841309047,0.35880169874124807,0.3847446670976083,0.2297005248533498,0.287661302015369,0.5532094594594594,0.6066687249150973,0.5787071123545869,0.4437527033943835,0.4546735103426983,0.44181316491119726,0.44375270339438355,0.4546735103426984,0.44181316491119726
67,SchoolConnect_x_NeighborConnect,test_metrics,logistic_regression,AST,0.5381056732408084,0.0872865275142315,0.6052631578947368,0.15257048092868988,0.16581371545547594,0.3201581027667984,0.21847606203641268,0.14316702819956617,0.23076923076923078,0.17670682730923695,0.903828197945845,0.59771534424205,0.719568853372979,0.32502386727877963,0.438476458918204,0.3168305559118296,0.7448212367478013,0.5381056732408084,0.6095363799918496
68,SchoolConnect_x_ParentalWarmth,train_metrics,logistic_regression,AST,0.4548664711330658,0.47963692822166487,0.6199444272923742,0.5408390007406909,0.359375,0.36924976844705154,0.364245469773108,0.38690947479546056,0.2263044149428836,0.2855751436641668,0.55152241330702,0.6039672738499536,0.5765546713822576,0.4443609540810364,0.4548664711330658,0.4418035713900558,0.4443609540810363,0.4548664711330658,0.4418035713900558
